id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
754959,cosy apartment near naschmarkt,3972536,Ulrike,,Margareten,48.192505185854486,16.354810770094566,Entire home/apt,45,2,3,2016-01-02,0.05,1,0
6569001,Quiet/spacious room in central shared flat,5088279,Matthias,,Margareten,48.19550561444726,16.355819415193235,Private room,39,2,59,2017-08-14,2.12,1,0
14861508,Modern Loft near Naschmarkt,3839606,Xuan,,Margareten,48.18754020837845,16.345761441584177,Entire home/apt,49,1,87,2017-09-12,8.50,1,249
6177997,维也纳华人客栈,31988815,蒋,,Margareten,48.18745247837719,16.34272544501039,Entire home/apt,30,1,0,,,1,365
5080242,your own central apartment in VIE,17858474,Elisabeth,,Margareten,48.19402116103824,16.357540623828253,Entire home/apt,55,2,33,2015-10-25,1.03,1,0
9831666,"lovely room, perfect location",50634421,Britta,,Margareten,48.18399440933887,16.359702645480613,Private room,30,2,50,2017-08-06,2.37,2,0
4008813,Gut angebunde 35qm Wohnung 1050,20786958,Hanja,,Margareten,48.18605886740604,16.36389854217876,Entire home/apt,40,1,0,,,1,0
13929950,Charming City apartment near Central Station,900817,Kathrin,,Margareten,48.18478247017278,16.364384835649624,Entire home/apt,120,2,20,2017-08-25,1.45,1,242
19114857,Super sunny room,17956507,Jenny,,Margareten,48.18234144059261,16.3538936685362,Private room,23,2,6,2017-08-28,1.78,2,17
16434769,DMG Apartments Hotel Room Standard Double Bed 403,107743301,DMG Apartments,,Margareten,48.18410499883727,16.357862713835296,Entire home/apt,65,1,1,2017-08-17,1,14,148
9700898,Bright room close to Naschmarkt!,11421907,Dalia,,Margareten,48.192430427728695,16.35744333419967,Private room,40,1,14,2017-08-15,0.65,1,0
20087916,hübsche 37 m2 Altbau im 5. Bezirk,38096065,Karla,,Margareten,48.18690386783927,16.365036772843904,Entire home/apt,24,25,0,,,1,51
12551252,OASIS in the middle of the VIENNA,5053186,Marco,,Margareten,48.18689804267033,16.35787418254245,Entire home/apt,60,30,3,2016-12-31,0.20,2,309
10767536,Single-Room Appartment,36431788,Michael,,Margareten,48.186208581484635,16.353346691227763,Entire home/apt,40,1,0,,,1,9
328756,Child friendly charming flat for 3,1679234,Claire,,Margareten,48.18764119977906,16.35280278385258,Entire home/apt,58,3,34,2017-09-06,0.51,1,259
361457,"2 Bdr, Near Center and Belvedere",1814038,Alan,,Margareten,48.18569540435546,16.364622822603945,Entire home/apt,140,3,8,2014-05-05,0.12,14,352
20755965,Cozy apartment in the city center,58319675,Lisa,,Margareten,48.19329524373158,16.35958753972378,Private room,46,3,1,2017-09-12,1,1,26
361440,"2 Bdr, Near Vienna Center,Apt #1",1814038,Alan,,Margareten,48.184521308693654,16.36532995046291,Entire home/apt,120,3,15,2017-04-17,0.23,14,352
16954012,Schönes Zimmer in Naschmarktnähe,18194921,Felix & Sophie,,Margareten,48.19332447258089,16.36082079546003,Private room,44,1,10,2017-07-21,1.72,3,75
19858385,Private room in the 5th district!,140434646,Lia,,Margareten,48.18830493718374,16.35200547131407,Private room,25,6,3,2017-07-23,1.43,1,0
16433955,DMG Apartments Hotel Room with kitchenette 401,107743301,DMG Apartments,,Margareten,48.182323742429034,16.357481712235984,Entire home/apt,75,1,2,2017-08-13,0.40,14,348
9388998,2 Apartment Suite Near Center,1814038,Alan,,Margareten,48.18393829507607,16.364193854521062,Entire home/apt,160,3,1,2016-03-30,0.06,14,359
8111030,Spacious 40 m2 Studio with A View!,42828478,Andrey,,Margareten,48.18578703161436,16.35293752998874,Entire home/apt,59,3,27,2017-08-21,1.71,1,284
4883356,Stylish apartment in the centre,8887050,Max,,Margareten,48.19575187219887,16.358468740491322,Entire home/apt,95,1,2,2016-06-20,0.06,1,0
11980638,Very bright room in the best city!,64013498,Spengergassen-Gang,,Margareten,48.182390288682505,16.35835078059411,Private room,22,4,18,2016-08-22,1.00,1,0
9618283,Modern Apartment at Naschmarkt,16780693,Julian,,Margareten,48.19504384498577,16.357527864756758,Entire home/apt,70,7,5,2017-07-10,0.24,1,365
17695583,Lovely flat next to Naschmarkt,18194921,Felix & Sophie,,Margareten,48.19355031929813,16.36035118049164,Entire home/apt,160,3,1,2017-04-17,0.20,3,0
11682625,Business Suite Hauptbahnhof Top 4,8632750,Andreas,,Margareten,48.187789303617016,16.36154831737069,Entire home/apt,80,1,4,2016-12-18,0.30,34,72
20613942,cozy apartment in the 4th district for 4,34795351,Julia,,Margareten,48.19518017498267,16.36009377549625,Entire home/apt,50,2,0,,,1,344
16345876,stylish + cosy apartment near the center,40277515,Kurt,,Margareten,48.184715704353735,16.34804547853658,Entire home/apt,45,2,15,2017-07-29,1.73,4,337
2097256,SP6a - Vienna City Studio - 30m2,4304771,Vienna,,Margareten,48.18782775477817,16.35213208295469,Entire home/apt,55,29,1,2017-05-19,0.25,38,309
311904,COMFORT SUITE- 10Hotspots10Minuten,1100216,Belinda,,Margareten,48.18381178876608,16.36040272851852,Entire home/apt,60,2,41,2017-02-08,0.61,3,167
