id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2011496,Best location @ Berlin city center!,3026156,Sabrina & John,Tempelhof - Schöneberg,Schöneberg-Nord,52.49799828449109,13.361709755703181,Private room,45,2,41,2017-03-31,1.25,1,254
9089057,DESIGN | SPACIOUS | COZY,5504621,Milan & Jil,Tempelhof - Schöneberg,Schöneberg-Nord,52.490156152447106,13.363260355514637,Entire home/apt,130,2,7,2016-12-28,0.45,1,21
5417042,Gemütliche zentrale Unterkunft,20248813,Erich,Tempelhof - Schöneberg,Schöneberg-Nord,52.49874329010481,13.35738486574171,Entire home/apt,70,3,39,2017-04-05,1.54,1,262
12748017,Last minute booking offer ...,68802793,Maik,Tempelhof - Schöneberg,Schöneberg-Nord,52.49857932346198,13.34519021803202,Private room,61,2,19,2017-03-26,2.01,4,338
9873256,Cozy and Quiet in Schöneberg,50806937,Amanda,Tempelhof - Schöneberg,Schöneberg-Nord,52.49208695500417,13.354504081254744,Entire home/apt,75,4,13,2016-10-31,0.84,1,303
12691039,Simple 1room apartment @ Schöneberg,39147435,Jürgen,Tempelhof - Schöneberg,Schöneberg-Nord,52.49282831399967,13.355405098187703,Entire home/apt,45,2,18,2017-03-22,1.76,2,197
11643471,A room for up to 2 people in Berlin,35294550,Laura,Tempelhof - Schöneberg,Schöneberg-Nord,52.494097686762586,13.350236597933504,Private room,20,3,0,,,3,0
17672719,Charming Room Studio in Nollendorfplatz.,96412167,Renato,Tempelhof - Schöneberg,Schöneberg-Nord,52.500103812416285,13.347108577162382,Entire home/apt,50,3,0,,,1,48
16885279,Modernes 1-Zi-Apartment am Wittenbergplatz,112609666,Dawood Martin,Tempelhof - Schöneberg,Schöneberg-Nord,52.49892618074667,13.343276684428615,Entire home/apt,59,2,0,,,1,112
107968,"Gästeapartment Berlin- Schöneberg

",558933,Frank,Tempelhof - Schöneberg,Schöneberg-Nord,52.49854776932377,13.342940503262401,Entire home/apt,70,3,52,2017-04-06,0.75,1,274
17081794,"Schönes Zimmer, tolle Lage, mitten in Schöneberg,",24925159,Ursula,Tempelhof - Schöneberg,Schöneberg-Nord,52.48953849714343,13.347590868236118,Private room,28,1,7,2017-03-26,3.56,1,97
12036128,Big cozy room in Schöneberg,6418498,Anna Rosa,Tempelhof - Schöneberg,Schöneberg-Nord,52.49774778276061,13.362228449409054,Private room,25,2,1,2016-05-01,0.09,1,0
